time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,sunshine_duration,windspeed_10m_max,weathercode
2023-10-01,19.8,17.5,18.2,21.6,21.6,1831.28,26.3,63
2023-10-02,20.9,17.4,19.0,3.9,3.9,30319.74,25.7,53
2023-10-03,22.4,16.0,18.8,0.0,0.0,40188.54,23.3,2
2023-10-04,22.5,13.0,17.6,0.0,0.0,40483.94,15.3,1
2023-10-05,23.7,12.7,17.8,0.0,0.0,39081.07,21.5,3
2023-10-06,23.4,14.4,18.8,0.0,0.0,39536.59,19.2,3
2023-10-07,23.8,15.4,19.1,0.0,0.0,38182.78,19.5,3
2023-10-08,22.4,11.9,18.0,0.0,0.0,39201.5,19.6,0
2023-10-09,19.4,12.6,16.9,0.5,0.5,11608.27,31.5,51
2023-10-10,21.8,10.4,15.6,0.0,0.0,35545.62,17.6,3
2023-10-11,19.4,12.8,16.0,0.1,0.1,35982.89,29.3,51
2023-10-12,22.6,13.6,17.5,0.0,0.0,38108.32,20.1,1
2023-10-13,21.9,10.3,15.8,0.0,0.0,36899.3,8.2,3
2023-10-14,23.1,13.6,17.4,0.0,0.0,37560.44,18.3,3
2023-10-15,21.8,11.9,16.6,0.1,0.1,34439.7,11.8,51
2023-10-16,19.7,13.2,16.1,4.1,4.1,10257.45,30.0,53
2023-10-17,19.5,12.9,15.5,0.0,0.0,27546.49,23.5,3
2023-10-18,17.0,13.3,14.8,12.4,12.4,5855.62,22.2,61
2023-10-19,18.8,13.2,15.5,0.3,0.3,35645.23,17.1,51
2023-10-20,21.8,14.2,18.3,0.0,0.0,36529.09,27.1,0
2023-10-21,23.6,18.1,20.3,0.0,0.0,36566.14,20.1,0
2023-10-22,24.4,15.9,19.3,0.0,0.0,36603.36,11.2,3
2023-10-23,24.9,14.7,19.4,0.0,0.0,36323.06,10.8,3
2023-10-24,23.1,14.6,18.6,0.0,0.0,35463.29,11.5,3
2023-10-25,23.0,15.6,19.0,0.0,0.0,27498.71,24.7,3
2023-10-26,24.4,20.1,22.1,0.0,0.0,27724.36,29.6,3
2023-10-27,24.8,18.8,21.5,0.0,0.0,32496.32,30.1,3
2023-10-28,25.4,19.0,22.0,0.0,0.0,36000.0,32.0,3
